Título,Autor,Descripción,Formato,Número de páginas,Fecha de publicación,Calificación promedio,Número de calificaciones,Número de reseñas,URL de la imagen de portada,URL del libro,Categoría
Shadow of the Eternal Watcher,Josh Mendoza,"Duster Raines has demons. Some visit him in his dreams, reminding him of the choices he made in combat to survive. Others visit him while he’s awake, demanding he pay penance for those sins. But lately, he’s started seeing an alternate version of reality where he leads a life of importance full of wealth and power. Visions so vivid, they seem more real than the life he lives as a PI, scrounging the gutters of Los Angeles for an easy buck. It’s enough to drive anyone insane. Pulled into a missing persons case he never wanted, Raines finds himself framed and hunted by the government. But as he searches for answers to clear his name, he discovers a truth he never could have imagined. He possesses the ability to bend spacetime to accomplish incredible feats. With these powers, maybe he’s got a shot at the life he deserves. There’s only one problem standing in his way, the other Duster Raines.",Paperback,325 pages,"Published January 28, 2025",4.00,14 ratings,6 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1731481484i/210038665.jpg,https://www.goodreads.com/book/show/210038665-shadow-of-the-eternal-watcher,Science Fiction
Haven,Cam Stevenson,"It’s been generations since Eli’s ancestors crash-landed on an enigmatic planet, teeming with exceptionally hostile flora and fauna and cloaked in an impermeable bubble. Since the crash, the survivors have managed to hold their own against the planet, surviving but certainly not thriving.

To Eli, a bored teenager with a rebellious spirit, this is all just part of the routine. Now, having reached adulthood, he’s far more concerned about his future prospects.

When Eli unexpectedly lands an exciting career, he has no idea that it will take him on a journey beyond his wildest dreams.",Kindle Edition,290 pages,"Published November 28, 2024",5.00,2 ratings,2 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1732921344i/222085220.jpg,https://www.goodreads.com/book/show/222085220-haven,Science Fiction
Of Monsters and Mainframes,Barbara Truelove,"Spaceships aren’t programmed to seek revenge—but for Dracula, Demeter will make an exception.

Demeter just wants to do her shuttling humans between Earth and Alpha Centauri. Unfortunately, her passengers keep dying—and not from equipment failures, as her AI medical system, Steward, would have her believe. These are paranormal murders, and they began when one nasty, ancient vampire decided to board Demeter and kill all her humans.

To keep from getting decommissioned, Demeter must join forces with her own team of A werewolf. An engineer built from the dead. A pharaoh with otherworldly powers. A vampire with a grudge. A fleet of cheerful spider drones. Together, this motley crew will face down the ultimate evil—Dracula.

The queer love child of pulp horror and classic sci-fi, is a dazzling, heartfelt odyssey that probes what it means to be one of society’s monsters—and explores the many types of friendship that make us human.",Kindle Edition,407 pages,"Expected publication June 3, 2025",4.39,62 ratings,47 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1726684450i/216540053.jpg,https://www.goodreads.com/book/show/216540053-of-monsters-and-mainframes,Science Fiction
Almost 30: A Definitive Guide to a Life You Love for the Next Decade and Beyond,Lindsey Simcik,"Go from lost to a life you love and make your thirties your best decade yet with this inspiring, hilarious, and vulnerable book from creators of the #1 critically acclaimed podcast, Almost 30.

The years leading up to 30 can feel more agonizing than exciting. The pressure to have it all figured out—your job, your relationship, your LIFE—is intense. And as if that’s not enough, bam! Along comes Saturn Return, a cosmic milestone that thrusts you into adulthood … ready or not.

Yes, it can all feel overwhelming, and the fear of the unknown is real. While part of you might want to cling to the status quo (whether it’s actually working for you or not), there is another, more powerful part of you that won’t allow that to happen. This book is here to talk to part of you.

Lindsey Simcik and Krista Williams—creators of the #1, critically acclaimed wellness podcast and global community Almost 30—help you navigate this season of astronomical (and astrological) transition in your life. Consider them the big sisters of your Saturn Return, here to guide you, hold your hand, and cheer you on as you embark upon this monumental transition that will touch every single part of your life, from your body to your relationships to your spirituality. In addition to looking back at their own alternately hilarious and insightful experiences of being almost thirty, this book contains the expert insights, research, practices, and tools they’ve cultivated through nearly a decade of hosting .

Dive into thought exercises, meditations, journaling prompts, and sage advice from expert podcast guests such as Jay Shetty, Gabrielle Bernstein, Glennon Doyle, Nicole LaPera, and many more. is the go-to book for every woman standing on the cusp of where they’ve been and where they’re going. Because change is imminent, and we’re all almost … .",Hardcover,352 pages,"Expected publication June 3, 2025",4.00,7 ratings,3 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1729711078i/217388045.jpg,https://www.goodreads.com/book/show/217388045-almost-30,Self Help
"No New Things: A Radically Simple 30-Day Guide to Saving Money, the Planet, and Your Sanity",Ashlee Piper,"From award-winning sustainability expert Ashlee Piper, a witty, no-nonsense guide to regaining control over your time, consumerist impulses, and financial and mental wellness

For nearly two years, Ashlee Piper challenged herself to buy nothing new. And in the process, she got out of debt, cut clutter, crushed her goals, and became healthier and happier than ever—all the things she’d always wanted to do but “never had time to” (because she was mindlessly scrolling, shopping, spending, and stressing). After a decade of fine-tuning, guides readers through the same revolutionarily simple challenge that has helped thousands of global participants find freedom and fulfillment in just thirty days.

The book follows the rise of what Piper calls “conditioned consumerism” and how it sneakily hijacks our time, money, and mental bandwidth, as well as harms the planet. From there, readers follow customizable daily action items that bring about the ease and richness of a life less bogged down by spending and stuff, without compromising on style, convenience, or fun.

Whether you’re a bona fide shopaholic or someone who just wants to buy less and live more, is the antidote to modern overwhelm.",Hardcover,288 pages,"Expected publication April 15, 2025",4.25,8 ratings,3 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1732342533i/214161655.jpg,https://www.goodreads.com/book/show/214161655-no-new-things,Self Help
"Dancing on The Edge: Moving Through Life with Power, Dignity and Effectiveness",Tyrone Polastri,"An adventure for a lifetime in three parts. It metaphorically draws a fascinating parallel with the skier's progression of edge control discovering your edge, tuning your edge, and dancing on your edge. In each part are chapters inviting the reader to participate in experiential exercises, find inspiration through personal stories, and gain valuable insights about ways to navigate successfully with uncertainty, conflicts, or opportunities. Skiers and individuals that develop this ability can make choices that align with their values, goals, and destination.

A time of social, economic, and political tension caused by issues fueling extremism, disrespect, and divisiveness in societies, leaving us with feelings of instability and uncertainty about the future. These feelings can shake us to our core, having us seeking balance and challenging us to stay, reclaim or redefine our life's path.
How do we navigate in this unsettling environment? What competencies are best suited for these dynamics of change around us and within us? Where do we go to learn these skills and from whom?
Dancing on the Edge is a guiding resource available to anyone wanting to increase their capacities during times of change or adopting the personal mastery competencies for becoming the best version of themselves. Along this journey, the reader travels a path awakening their self-knowledge by clarifying their values and what is important to them. They will encounter invitations to revisit the source of their voice, the power of their words, and their listening to understand and resolve conflict. These experiences foster resiliency during adversity, and actively build essential body mind competencies, such as emotional intelligence, authentic communication, creative curiosity, and overall balance.",Paperback,288 pages,"Published November 22, 2024",0.00,0 ratings,0 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1735960853i/220062130.jpg,https://www.goodreads.com/book/show/220062130-dancing-on-the-edge,Self Help
Persuader,Lee Child,"Jack Reacher lives for the moment. Without a home. Without commitment. And with a burning desire to right wrongs—and rewrite his own agonizing past. DEA agent Susan Duffy is living for the future, knowing that she has made a terrible mistake by putting one of her own female agents into a death trap within a heavily guarded Maine mansion. Staging a brilliant ruse, Reacher hurtles into the dark heart of a vast criminal enterprise. Trying to rescue an agent whose time is running out, Reacher enters a crime lord’s waterfront fortress. There he will find a world of secrecy and violence—and confront some unfinished business from his own past.",Paperback,368 pages,"First published April 1, 2003",4.14,"96,737 ratings","4,055 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388442979i/8596624.jpg,https://www.goodreads.com/book/show/8596624-persuader,Thriller
This Book Will Bury Me,Ashley Winstead,"From the bestselling author of In My Dreams I Hold a Knife and Midnight is the Darkest Hour comes a chilling, compulsive story of five amateur sleuths, whose hunt for an elusive killer catapults them into danger as the world watches.

It's the most famous crime in modern history. But only she knows the true story.

After the unexpected death of her father, college student Jane Sharp longs for a distraction from her grief. She becomes obsessed with true crime, befriending armchair detectives who teach her how to hunt killers from afar. In this morbid internet underground, Jane finds friendship, purpose, and even glory...

So when news of the shocking deaths of three college girls in Delphine, Idaho takes the world by storm, and sleuths everywhere race to solve the crimes, Jane and her friends are determined to beat them. But the case turns out to be stranger than anyone expected. Details don't add up, the police are cagey, and there seems to be more media hype and internet theorizing than actual evidence. When Jane and her sleuths take a step closer, they find that every answer only begs more questions. Something's not adding up, and they begin to suspect their killer may be smarter and more prolific than any they've faced before. Placing themselves in the center of the story starts to feel more and more like walking into a trap...

Told one year after the astounding events that concluded the case and left the world reeling, when Jane has finally decided to break her silence about what really happened, she tells the true story of the Delphine Massacres. And what she has to confess will shock even the most seasoned true crime fans...",Hardcover,480 pages,"Expected publication March 25, 2025",3.99,916 ratings,610 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1723130372i/213570821.jpg,https://www.goodreads.com/book/show/213570821-this-book-will-bury-me,Thriller
The Compound,Aisling Rawle,"Love Island meets The Hunger Games in this must-talk-about-it read, as bingeable as the best reality TV.

Lily—a bored, beautiful twenty-something—wakes up on a remote desert compound, alongside nineteen other contestants competing on a massively popular reality show. To win, she must outlast her housemates to stay in the Compound the longest, while competing in challenges for luxury rewards like champagne and lipstick, plus communal necessities to outfit their new home, like food, appliances, and a front door.

Cameras are catching all her angles, good and bad, but Lily has no desire to leave: why would she, when the world outside is falling apart? As the competition intensifies, intimacy between the players deepens, and it becomes increasingly difficult to distinguish between desire and desperation. When the unseen producers raise the stakes, forcing contestants into upsetting, even dangerous situations, the line between playing the game and surviving it begins to blur. If Lily makes it to the end, she’ll receive prizes beyond her wildest dreams—but what will she have to do to win?

Addictive and prescient, The Compound is an explosive debut from a major new voice in fiction and will linger in your mind long after the game ends",Hardcover,304 pages,"Expected publication June 3, 2025",4.06,114 ratings,59 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1732112544i/218460337.jpg,https://www.goodreads.com/book/show/218460337-the-compound,Thriller
Worlds to Discover: Kayak Adventures One Inch Above the Water,Jim Payne,"The latest collection of Jim Payne’s kayak adventures. After solo trips on American waterways (One Inch above the Water) and a voyage on the River Thames (Discovering England)—he’s got four more adventures to share: the Connecticut River; the alligator-infested swamps of Georgia and Florida on the Chattahoochee River; the lower Bío Bío River in Chile; and the Ohio River, from Cincinnati to Brandenburg, Kentucky. Calling himself a “social kayaker,” Payne combines his tales of nautical mayhem with unusual encounters of people and places on land.",Paperback,297 pages,"Published November 1, 2015",4.36,11 ratings,5 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1446590275i/27422565.jpg,https://www.goodreads.com/book/show/27422565-worlds-to-discover,Travel
Breakfast Wine,Alex Poppe,"Dress-obsessed and directionless, 44-year-old Alex Poppe can't get her life together. A business analyst, turned actor, turned teacher, she works a dead-end marketing job under a mammary gland-fixated man and still waits tables to make ends meet. A chance encounter with an acclaimed journalist encourages her to accept a teaching position in northern Iraq, which charms with a heart and a fist.",Paperback,244 pages,"Expected publication June 10, 2025",0.00,0 ratings,0 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1735544762i/222806943.jpg,https://www.goodreads.com/book/show/222806943-breakfast-wine,Travel
Becoming Amazed: Discovering the World with Eyes Wide Open,Brenda E. Smith,"Brenda's adventure memoir, Becoming Amazed, will sweep you off your feet and plunge you into a world where the thrill of the unknown reigns supreme. Her journey began with a heart-pounding initiation—rafting and mountain climbing through the untamed Tanzanian wilderness chronicled in her book Becoming Finding Courage in the African Wilderness. What started as a step outside her comfort zone soon became an insatiable quest for the extraordinary, pushing her to explore some of the most remote and breathtaking corners of the globe.

From Bolivia's rugged landscapes to Ethiopia's hidden tribal territories, from the enigmatic villages of Pakistan to the leech-infested forests of Sri Lanka, Brenda’s escapades are both awe-inspiring and terrifying. She confronts everything from revered idols exacting mysterious revenge to navigating eerie second-dimension spaces. The stakes reach their zenith in the brutal murder of a friend by terrorists—a moment that forces Brenda to reckon with the harshest realities of the world she craves to explore.

Through every trial, Brenda gains profound insights, emerging stronger, braver, and more enlightened. Her stories are an adrenaline-packed blend of daring exploits and deep reflections, perfect for fans of , , and .

Don’t just read about adventure—experience it. Dive into and let Brenda’s journey inspire you to chase your own wild dreams.",Kindle Edition,266 pages,"Published November 18, 2024",5.00,6 ratings,2 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1731529884i/221492273.jpg,https://www.goodreads.com/book/show/221492273-becoming-amazed,Travel
Give Up the Night,P.C. Cast,"New York Times bestsellers P.C. Cast and Kristin Cast return with the astonishing conclusion to their new duology set in a dark and magickal world filled with incredible danger and irresistible romance.

Since becoming Moonstruck on her eighteenth birthday, Wren Nightingale has found herself thrust into a world filled with deception, danger, and murder. Uncovering that their magick was fractured and limited when the original Moonstruck ritual was broken by Selene, Wren is determined to find a way to restore it. But the Elementals are split into two factions―some want the ritual completed and their freedom―and others are so terrified of change that they’re willing to end Wren before she can reach the center of the island where the ritual Selene ruined can be completed.

Between his overbearing father’s arrival, Rottingham delegating him more and more responsibility, and Celeste taking a special interest in him, Lee Young has been struggling to find his own path. As much as Lee wants to take his place in the Moonstruck hierarchy, he knows something’s not right at the Academia de la Luna. He thinks if he can talk some sense into Wren and get her to return to the Academia, that everything will turn out alright.

As Wren and Lee both battle for what they believe is right, they’ll have to uncover who their true allies are…and if they’re even on the same side of this magickal fight.",Hardcover,304 pages,"Expected publication April 1, 2025",4.10,21 ratings,15 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1718938508i/211003727.jpg,https://www.goodreads.com/book/show/211003727-give-up-the-night,Young Adult
Almost Infamous,Sarah Ainslee,"Jenny Han meets Olivia Rodrigo's SOUR in this humorous and heartfelt coming-of-age novel from the author of That Wasn't in the Script.

What do you do when your dad’s a legendary rockstar, but you’re the only one who knows it? For seventeen-year-old Emmy Harper, the answer’s pretend he doesn’t exist. After all, Nick Addison, frontman of the iconic rock band Mayfair, bailed before she was even born.

Emmy’s summer plans are set until her mom drops a Nick wants to meet her. The catch? She has to spend two weeks on tour with Mayfair—incognito. After two decades of fame, scandals, and tabloid drama, he suddenly wants to get involved? Hard pass. Turns out, Emmy doesn’t have a choice.

Now stuck on the road with a bunch of rockstars, Emmy’s world is flipped upside down. Alongside the charming drummer’s son, Sullivan, she uncovers truths about Nick’s supposed abandonment and how everything she’s been taught about her family might be the farthest thing from reality.

Between band drama, first love, and backstage passes to the wild world of rock & roll, Emmy’s summer is a whirlwind of unexpected twists. But is it a chance for redemption or a ticket to chaos?",Kindle Edition,310 pages,"Expected publication May 20, 2025",4.44,27 ratings,23 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1730489901i/221106738.jpg,https://www.goodreads.com/book/show/221106738-almost-infamous,Young Adult
Iron Rose,Abigail O'Bryan,"No Kiss Can Break This Curse.




There is no future for Lydia Brightwood.

The Crimson Lord, a tyrant bent on destroying Lydia's country, made sure of that. Her only hope of a different life is to find the one person who could unite her a royal heir. There's just one problem... 

They're all dead.






Shut away from the world by a horrible secret, Adam watches the destruction of his homeland from the ruins of a fortress all the while holding the devastating truth in his  

It's his fault.




Adam and Lydia's paths cross in the ruins of the north where they must find a way to conquer the curse before everything they love collapses...but being truly human has its price.",Paperback,380 pages,"Published August 6, 2024",4.11,161 ratings,110 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1719009486i/213496502.jpg,https://www.goodreads.com/book/show/213496502-iron-rose,Young Adult
"Kawaii Café Ramen: Classic, Fun, and Delicious Ramen Meals to Make at Home",Amy Kimoto-Kahn,"Satisfy your ramen cravings at home (and affordably)!  Kawaii Café  Ramen includes over 60 easy-to-follow recipes, beautifully illustrated in a fun anime style.

Kawaii Café Ramen covers everything you need to know, including how to put together a bowl of piping hot ramen in a myriad of ways with a choice of four soup bases, ramen noodles (homemade or store-bought), and traditional and non-traditional ingredients. Enjoy bowls of pork, chicken, and ramen, or branch out with , , and soups—and even cold ramen and a breakfast version topped with bacon and a poached egg. Make your soup base in advance and you have a quick, easy, and special midweek family meal.

Each accompanied by , the recipes

Indonesian Pork Ramen with Coconut Curry SoupChicken Meatball RamenTeriyaki Beef–Wrapped Asparagus RamenCalifornia Ramen with Crabmeat, Avocado, and CucumberSpicy Tofu RamenCrispy Greens Ramen with Swiss Chard, Kale, and Brussels Sprouts
With yummy recipes, down-to-earth writing, and a delightful design, is the ultimate guide to this global phenomenon.",Hardcover,128 pages,"Published January 14, 2025",4.38,50 ratings,44 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1733391218i/212923949.jpg,https://www.goodreads.com/book/show/212923949-kawaii-caf-ramen,Art
How to Draw Squishy Cats and Kittens: A Step-by-Step Guide to Drawing Totally Floofy Felines and Their Worlds,Vera Kay,"Calling all cat people! Channel your feline fervor with these step-by-step drawing projects and coloring pages filled with adorable kitties.

From Vera Kay, a rising young artist who goes by @veekachoo online, How to Draw Squishy Cats and Kittens teaches you to draw cats in all kinds of cute positions and situations, including sleeping, jumping, scratching, chasing, and more. This fun book is divided into chapters focusing
  Degrees of floofHow to add floofAdding color to line artCommon cat posesCats and their kingdomsA squishy birthday party!
Each chapter is . Veekachoo’s hundreds of thousands of online followers give her lots of positive feedback and often credit her art with inspiring them to start drawing. This is the first book from this trending artist whose career continues to grow through her social media channels and online classes.

Cat lovers, rejoice! This book is for you!",Paperback,112 pages,"Expected publication March 25, 2025",0.00,0 ratings,0 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1721739700i/215748171.jpg,https://www.goodreads.com/book/show/215748171-how-to-draw-squishy-cats-and-kittens,Art
Beautiful Butterflies and Flowers: 20 Step-by-Step No-Sketch Projects on Watercolor Paper,Chithra Shaan,"Learn the basics of watercolor in a fun, accessible way and an included watercolor pad with butterfly and botanical drawings you can paint over.

Watercolor This Book: Beautiful Butterflies and Flowers features 20 gorgeous paintings paired with step-by-step instruction for replicating them at home. Paint directly on the watercolor pad with supplied outlines to create beautiful artwork of your own—no sketching required! The beginner-friendly projects teach you all the painting skills you need as you create frame-worthy art. From artist Chithra Shaan (@littleheartcreates) comes this fun, relaxing painting experience.",Paperback,96 pages,"Expected publication March 11, 2025",4.40,5 ratings,4 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1707105755i/207567576.jpg,https://www.goodreads.com/book/show/207567576-beautiful-butterflies-and-flowers,Art
"Slayers, Every One of Us: How One Girl in All the World Showed Us How to Hold On",Kristin Russo,"A memoir reflecting on heartbreak, perseverance, and life lessons learned from Buffy the Vampire Slayer, from the hosts of the hit podcast Buffering the Vampire Slayer.

Kristin and Jenny’s marriage started with an ultimatum: to further their relationship, Kristin must watch Jenny's favorite show, Buffy the Vampire Slayer. With the terms set, they began a journey that has led them through seven seasons of the beloved genre show, a podcast rewatching the series with their newly minted listenership of “Scoobies,” unexpected success, and a divorce. Through it all, their love for Buffy and their commitment to their community held them together against the odds.

is the story of how two queer women navigated divorce on a very public level and managed to stay in each other’s lives through it all. While chock full of Buffy (and Buffering!) content for true fans, this is ultimately a memoir of queer love and chosen family. It's a heartwarming story for anyone who's experienced lost love, and a roadmap for staying close with your ex.",Hardcover,256 pages,"Expected publication March 25, 2025",4.41,17 ratings,9 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1718232338i/211004154.jpg,https://www.goodreads.com/book/show/211004154-slayers-every-one-of-us,Biography
Four Red Sweaters: Powerful True Stories of Women and the Holocaust,Lucy Adlington,"The New York Times bestselling author of The Dressmakers of Auschwitz tells the stories of four Jewish girls during the Holocaust, strangers whose lives were unknowingly linked by everyday garments, revealing how the ordinary can connect us in extraordinary ways.

Jock Heidenstein, Anita Lasker, Chana Zumerkorn, and Regina Feldman all faced the Holocaust in different ways. While they did not know each other—in fact had never met—each had a red sweater that would play a major part in their lives. In this absorbing and deeply moving account, award-winning clothes historian Lucy Adlington documents their stories, knitting together the experiences that fragmented their families and their lives.

Adlington immortalizes these young women whose resilience, skills, strength, and kindness accompanied them through the darkest events in human history. A powerful reminder of the suffering they endured and a celebration of courage, love, and tenacity, this moving and original work illuminates moments long lost to history, now pieced back together by a simple garment.

 is illustrated with more than two dozen black-and-white images throughout.",Paperback,336 pages,"Expected publication March 18, 2025",4.00,6 ratings,2 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1729113245i/216269104.jpg,https://www.goodreads.com/book/show/216269104-four-red-sweaters,Biography
Compassion in the Court: Life-Changing Stories from America's Nicest Judge,Frank Caprio,"Lessons in life from Caught in Providence’s viral sensation Judge Frank Caprio, known as the “Nicest Judge in the World” whose courtroom became a worldwide beacon of compassionate justice—and an unforgettable watch for millions of fans

Frank Caprio is “that judge”—the one you love on social media or TV, whose videos you and your friends and family talk about and share with each other. Now, Judge Caprio brings to the page the same wisdom and spirit of decency that viewers around the world have come to treasure.

From 1985, when he first took the bench, to when he stepped down in 2023, Judge Caprio dispensed true compassion to a continuous flow of regular people in his municipal traffic court in Providence, Rhode Island. As showcased in the four-time Emmy nominated show , his courtroom is a place where defendants are treated with dignity, and where the deserving are given a break—not a pass or get-out-of-jail-free card, but the chance to right their lives and care for their families.

In , Judge Caprio shares transformative stories and lessons from his life and courtroom,
Wisdom he gained from his immigrant parents Stories shared by individuals of all ages who appeared in court How he developed the ability to tell when someone is not telling the truth The power of growing up with someone who believed in him—and how he’s tried to provide the same for everyone who appears before him How a person’s worth isn’t measured by the mistakes they make, but by their ability to learn from those mistakes
Caprio’s memories will challenge readers to become somebody—to value their past and their family, to confront their realities, and to believe that, through respect, compassion, and understanding, they can succeed. This book will touch your heart, uplift your spirit, and renew your faith in others, and in yourself.",Hardcover,272 pages,"Expected publication February 4, 2025",4.80,10 ratings,9 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1721688794i/214151247.jpg,https://www.goodreads.com/book/show/214151247-compassion-in-the-court,Biography
Changemakers Wanted: Your Blueprint for Lasting Impact and Ethical Change,Danaya Wilson,"Changemakers Wanted is an inspiring guide for female professionals across all industries who are ready to challenge the status quo and drive meaningful societal change. Danaya Wilson, a visionary leader with over seventeen years of experience, shares her personal transformative journey from battling anxiety to becoming a powerful advocate for ethical leadership and social reform. Inside, she reframes the question “what if” to tackle critical issues such as the childcare crisis and the need for more equitable employee benefit plans.

Danaya offers readers with actionable strategies for overcoming both personal and professional challenges while building resilience and leading with ethical integrity. Her insights into balancing career and personal life, developing strong networks, and advocating systemic change—crucial for the future of female leadership—are invaluable for those seeking to make a lasting impact.

With a focus on empowering the next generation of female leaders, this book offers a proven blueprint for achieving success in male-dominated industries. Real-life examples, including Danaya’s successes in digital instructional design and industry advocacy, illustrate the transformative power of determination and innovative thinking, particularly when employing disruptive or unconventional strategies.

is a must-read for aspiring entrepreneurs, established professionals, and anyone seeking to make a significant impact in their field. Danaya’s comprehensive approach provides readers with the tools and inspiration needed to rise above challenges and lead with confidence and purpose.",Kindle Edition,216 pages,"Expected publication February 18, 2025",4.00,3 ratings,2 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1731428369i/221459773.jpg,https://www.goodreads.com/book/show/221459773-changemakers-wanted,Business
The Tao of Leadership: Harmonizing Technological Innovation and Human Creativity in the AI Era,Jack Myers,"Ancient Wisdom Meets Cutting-Edge Leadership

In The Tao of Leadership, renowned media ecologist Jack Myers reveals the key to thriving in an AI-driven business world. This groundbreaking book blends ancient Eastern philosophy with modern technological insights, offering a revolutionary approach to leadership in the digital age.

As artificial intelligence transforms industries, leaders must adapt to unprecedented challenges. How can organizations leverage AI’s potential while maintaining the irreplaceable human touch? With five decades of experience advising global corporations, Myers provides a visionary roadmap and ‘how-to’ guidance for leadership in the era of machine intelligence.

Key insights

Implement the innovative FusionFlow Process to balance rapid innovation with organizational stability.Break down silos and foster a culture of continuous learning and adaptability.Navigate ethical challenges posed by AI and machine intelligence.Cultivate emotional intelligence and empathy in a tech-dominated world.Learn the qualities that define a Harmonious Leader and gain the management skills required as machine intelligence dominates organizational transformation.Apply the five core principles of Tao Harmony, Flexibility, Balance, Simplicity, and Integrity. is packed with practical strategies and real-world case studies, illustrating how forward-thinking companies and leaders are already staying ahead of the curve. Whether you’re a seasoned executive or an emerging leader, this book equips you with the tools to create resilient, innovative organizations and teams ready to thrive in 2050 and beyond.

Don’t just survive the AI revolution—thrive in it. Embrace and unlock your organization’s full potential in the age of artificial intelligence.",Formato no encontrado,Número de páginas no encontrado,"Published January 28, 2025",5.00,2 ratings,1 review,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1734387463i/222675051.jpg,https://www.goodreads.com/book/show/222675051-the-tao-of-leadership,Business
Outmarket the Competition: Advanced Marketing Tactics to Drive Growth and Profitability,Nick Doyle,"The ultimate marketing strategy to help SMB companies break sales plateaus and beat the competition.



Sooner or later, every SMB (small and medium-sized business) hits a sales plateau or runs into significant competition. Even after tapping into all the mainstream channels and executing the best practices, these SMBs can’t increase sales—their channels budgets are maxed out. To meet today’s challenges, SMB chief executives and senior marketers need to recalculate their budgets, rethink their strategies, and revolutionize their internal systems.

In his book, marketing expert Nick Doyle offers what he calls the ""Five-Tactic Marketing Framework,” which unifies brand marketing, performance marketing, integrated campaigns, AI technologies, and lifetime value analytics. Doyle demonstrates that these tools are effective when deployed in isolation but really excel when deployed simultaneously.

You will learn to

• recalculate marketing budgets to reflect the realities of customer lifetime value;

• select channels and maximize efficiencies for integrated performance marketing campaigns;

• deploy AI and machine learning tools to enhance efficiency, performance, and insights;

• beat the competition and grow market share!

If deployed well, with the right strategy, these tactics can mark a watershed moment in the growth of an SMB company—one of expanded reach, optimized spending, and maximized profits.",Formato no encontrado,Número de páginas no encontrado,"Expected publication February 18, 2025",0.00,0 ratings,0 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1736274058i/223349879.jpg,https://www.goodreads.com/book/show/223349879-outmarket-the-competition,Business
The Callers,Kiah Thomas,"A riveting middle-grade novel that explores the amazing power of summoning objects into being that will capture fantasy and sci-fi lovers alike. Arresting, fast-paced, and thought-provoking, The Callers turns familiar magic upside down and inside out and is perfect for fans of Kenneth Oppel and Madeleine L'Engle.

In the world of Elipsom, the ability to Call—or summon objects—is a coveted, crucial skill, revered among its people as both a powerful tool and an essential way to sustain life. But despite an elite family history, a phenom for an older sister, a best friend who is set to join the Council of Callers, and his mother's steely insistence that he learn to Call, Quin doesn't have the gift—an embarrassment made worse when his mother gets his sister to cheat for him on his Calling exam.

But everything changes in a moment of frustration when Quin, instead of summoning an object, makes something disappear. And what's more, he quickly discovers that the objects Callers bring into their world aren't conjured at all; they're whisked away from another world and a people who for years have had their lives slowly stolen from them.

Now Quin must team up with Allie, a girl who's determined to stop this unfair practice, and decide whether he should remain loyal to his family or betray them—and save the world.

In a story that explores some of the most crucial topics of our time—our relationship to consumerism, the exploitation of natural resources, colonialism, and the consequences of wanting more than we need—magic is sought, and truth is found.",Paperback,244 pages,"First published April 5, 2022",4.19,244 ratings,57 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1733867682i/203164121.jpg,https://www.goodreads.com/book/show/203164121-the-callers,Children's
